BatchNo,AreaPattern,Count
波次2,"(8, 1, 2, 4, 8, 14, 16)",1.0
波次2,"(8, 5, 8, 12, 14, 15, 17)",1.0
波次2,"(8, 3, 4, 8, 12, 14, 16)",1.0
波次2,"(8, 2, 5, 12, 13, 15, 17)",1.0
波次2,"(8, 4, 7, 8, 11, 13, 15)",1.0
波次2,"(8, 1, 4, 5, 7, 12, 14, 16, 17)",1.0
波次2,"(8, 2, 3, 4, 14, 16, 17)",1.0
波次2,"(8, 7, 11, 12, 13, 14, 15)",1.0
波次2,"(8, 3, 4, 9, 11, 15, 17)",2.0
波次2,"(8, 1, 2, 11, 12, 13, 14, 15)",1.0
波次2,"(8, 2, 4, 8, 11, 12, 15)",1.0
波次2,"(8, 4, 7, 13, 14, 16, 17)",1.0
波次2,"(8, 1, 4, 5, 11, 12, 16)",1.0
波次2,"(8, 1, 2, 9, 11, 12, 16)",2.0
波次2,"(8, 1, 2, 3, 11, 15, 17)",1.0
波次2,"(8, 2, 3, 8, 12, 14, 15)",1.0
波次2,"(8, 7, 11, 13, 14, 16, 17)",1.0
波次2,"(8, 2, 4, 7, 13, 16, 17)",1.0
波次2,"(8, 2, 4, 7, 9, 14, 15)",1.0
波次2,"(8, 3, 8, 9, 11, 15, 17)",1.0
波次2,"(8, 3, 4, 5, 11, 12, 16)",1.0
波次2,"(8, 2, 3, 11, 14, 15, 17)",2.0
波次2,"(8, 1, 3, 4, 13, 14, 15, 17)",1.0
波次2,"(8, 4, 9, 11, 12, 13, 15, 16)",1.0
波次2,"(8, 4, 5, 9, 12, 15)",1.0
波次2,"(8, 4, 7, 9, 12, 13, 16, 17)",1.0
波次2,"(8, 1, 4, 11, 13, 14, 16, 17)",1.0
波次2,"(8, 7, 9, 12, 14, 16, 17)",1.0
波次2,"(8, 2, 7, 12, 14, 16, 17)",1.0
波次2,"(8, 2, 4, 5, 12, 15, 16, 17)",1.0
波次2,"(8, 1, 3, 4, 11, 12, 15, 17)",1.0
波次2,"(8, 2, 4, 7, 11, 15, 17)",1.0
波次2,"(8, 7, 9, 11, 12, 15, 17)",1.0
波次2,"(8, 1, 2, 3, 9, 12, 16)",1.0
波次2,"(8, 2, 7, 9, 12, 15, 16)",1.0
波次2,"(8, 1, 2, 7, 11, 12, 16, 17)",1.0
波次2,"(8, 4, 5, 8, 15, 16, 17)",1.0
波次2,"(8, 3, 4, 9, 11, 12, 16)",1.0
波次2,"(8, 1, 3, 9, 12, 16, 17)",2.0
波次2,"(8, 4, 6, 11, 12, 15, 16, 17)",1.0
波次2,"(8, 2, 7, 8, 15, 17)",1.0
波次2,"(8, 2, 4, 5, 8, 12, 16, 17)",1.0
波次2,"(8, 2, 4, 7, 11, 12, 14, 16)",1.0
波次2,"(8, 2, 4, 7, 12, 15, 17)",1.0
波次2,"(8, 2, 9, 12, 13, 16, 17)",2.0
波次2,"(8, 1, 2, 4, 5, 8, 15, 17)",1.0
波次2,"(8, 1, 2, 4, 8, 9, 15)",1.0
波次2,"(8, 2, 3, 4, 5, 12, 16, 17)",1.0
波次2,"(8, 2, 3, 8, 12, 14, 15, 17)",1.0
波次2,"(8, 1, 3, 4, 7, 12, 15, 17)",1.0
波次2,"(8, 3, 4, 9, 11, 14, 16, 17)",1.0
波次2,"(8, 2, 8, 9, 11, 12, 16, 17)",1.0
波次2,"(8, 1, 2, 3, 4, 6, 12, 16, 17)",1.0
